('https://www.cs.jhu.edu/~yarowsky/', 'David Yarowsky')
('https://www.cs.jhu.edu/~yarowsky/466.officehours.html', 'TA/CA Office Hours and Contact Information')
('https://www.cs.jhu.edu/~yarowsky/601.466.l0.pdf', 'Introductory course overview slides')
('https://www.cs.jhu.edu/~yarowsky/Gonzalez-vs-Google-case.pdf', 'Gonzales vs Gooogle case discussion Feb 2023')
('https://www.cs.jhu.edu/~yarowsky/601.466.on.exam.txt', 'Topics on Exam')
('https://www.cs.jhu.edu/~yarowsky/cs466slides/', 'Link to Course Slides (except Weka or textbook slides, below)')
('https://piazza.com/jhu/spring2023/601466666', 'Piazza link')
('http://www.cs.jhu.edu/~yarowsky/cs466.pdf', 'PDF version')
('https://nlp.stanford.edu/IR-book/information-retrieval-book.html', 'Introduction to Information Retrieval')
('https://www.sims.berkeley.edu/~hearst/irbook/', '')
('https://www.oreilly.com/openbook/webclient/', 'Web Client Programming')
('https://HTTP.CS.Berkeley.EDU/~fccheong/book/book.html', '')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw1.pdf', '')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw1.zip', 'Homework #1 (sample code and training data)')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw2.pdf', '')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw2.zip', 'Homework #2 (sample code and training data)')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw3.pdf', '')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw3.zip', 'Homework #3 (sample code and training data)')
('https://www.cs.jhu.edu/~yarowsky/601.466.hw4.pdf', '')
('http://www.cs.jhu.edu/~yarowsky/601.466.hw4.zip', 'Homework #4 .py starter code in zip file (due 4/6/23)')
('https://www.cs.jhu.edu/~yarowsky/601.466.pr.pdf', 'Final Project (due 4/28/23)')
('https://prdownloads.sourceforge.net/weka/weka.ppt', 'Weka overview presentation from class')
('https://www.cs.waikato.ac.nz/ml/weka/index.html', 'Weka download and documentation page')
('https://kvtr.elte.hu/harvest/user-manual.html', 'Harvest User Manual (HTML mirror)')
('https://citeseer.nj.nec.com/hardy95harvest.html', 'Harvest User Manual (PS + PDF via Citeseer)')
('https://www.w3.org/pub/WWW/Protocols/', 'HTTP - WWW protocols')
